id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20233Mendoza,2023,3,Mendoza,52.03,14.52,17677.0,73066.0,178719.0,27609.0,951.0,298022.0,104.0,2948.0,36236.0,20942.0,30636.0,8032.0,193600.0,5524.0,298022.0,297292.0,730.0,298022.0,46.96
20233Misiones,2023,3,Misiones,55.51,15.12,27934.0,79087.0,70003.0,12928.0,7183.0,197135.0,51.0,3302.0,32953.0,22315.0,11900.0,3862.0,113860.0,8892.0,197135.0,197135.0,0.0,197135.0,91.49
20233Neuquén,2023,3,Neuquén,79.97,23.8,24527.0,73329.0,39243.0,24085.0,3089.0,164273.0,170.0,981.0,37758.0,13937.0,11582.0,2377.0,84209.0,13259.0,164273.0,163834.0,439.0,164273.0,96.57
20233Río Negro,2023,3,Río Negro,68.4,21.04,22422.0,50429.0,56668.0,16864.0,17102.0,163485.0,112.0,1061.0,29201.0,15014.0,21182.0,22752.0,59206.0,14957.0,163485.0,162970.0,515.0,163485.0,70.93
20233Salta,2023,3,Salta,57.57,13.94,29113.0,98324.0,59914.0,12337.0,6545.0,206233.0,115.0,1190.0,29305.0,67060.0,4059.0,78.0,97627.0,6799.0,206233.0,206228.0,5.0,206233.0,80.8
20233San Juan,2023,3,San Juan,50.45,12.85,12669.0,19376.0,42383.0,22317.0,6985.0,103730.0,24.0,2021.0,21090.0,12882.0,12564.0,1440.0,31081.0,22628.0,103730.0,103483.0,247.0,103730.0,24.45
20233San Luis,2023,3,San Luis,98.55,28.2,4037.0,41624.0,24525.0,78431.0,299.0,148916.0,60.0,628.0,11398.0,23818.0,10926.0,74914.0,18688.0,8484.0,148916.0,148751.0,165.0,148916.0,104.97
20233Santa Cruz,2023,3,Santa Cruz,40.89,12.17,8376.0,23931.0,11270.0,3660.0,750.0,47987.0,50.0,6722.0,10612.0,10853.0,9565.0,3643.0,6542.0,0.0,47987.0,47800.0,187.0,47987.0,15.67
20233Santa Fe,2023,3,Santa Fe,79.09,24.87,108503.0,397854.0,336013.0,44545.0,13437.0,900352.0,468.0,7174.0,85897.0,168711.0,65489.0,20333.0,534474.0,17806.0,900352.0,900246.0,106.0,900352.0,97.39
20233Santiago Del Estero,2023,3,Santiago Del Estero,48.67,12.08,9412.0,80919.0,21745.0,6916.0,2936.0,121928.0,180.0,1199.0,15100.0,54503.0,28456.0,806.0,20734.0,950.0,121928.0,121926.0,2.0,121928.0,41.46
20233Tierra Del Fuego,2023,3,Tierra Del Fuego,105.95,31.41,9357.0,45203.0,3682.0,157.0,332.0,58731.0,22.0,834.0,10550.0,12731.0,20384.0,5150.0,4040.0,5020.0,58731.0,58426.0,305.0,58731.0,17.17
