Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2021,1,Jujuy,13.761744382981188,53.81674775618748
2021,1,La Pampa,22.223332084738,67.45098699723775
2021,1,La Rioja,4.956643539862247,18.620343731072076
2021,1,Mendoza,5.299078499247387,18.98940869695853
2021,1,Misiones,10.871707600442686,39.9154393914873
2021,1,Neuquén,11.695487262192755,39.292021191202444
2021,1,Río Negro,14.682619162891877,47.73677991392173
2021,1,Salta,14.198286498937417,58.62539892470027
2021,1,San Juan,4.311760548700192,16.92706124220937
2021,1,San Luis,8.893966237151622,31.0777642936035
2021,1,Santa Cruz,11.901155924753253,39.99873424588178
2021,1,Santa Fe,19.32540494187625,61.45960087612558
2021,1,Santiago Del Estero,16.199054962058373,65.27297645590852
2021,1,Tierra Del Fuego,23.84569564600766,80.43399223100327
2021,1,Tucumán,6.470372280907817,26.121200517195327
2020,4,Buenos Aires,16.884697698317066,50.8549912240842
2020,4,Capital Federal,24.622819489921106,59.48445206544218
2020,4,Catamarca,10.097429230688048,39.696369636963695
2020,4,Chaco,9.758487339788774,36.51233154722865
2020,4,Chubut,11.750869249196535,38.33703253905105
2020,4,Córdoba,28.41545943612701,92.8119612949766
2020,4,Corrientes,9.944459608078828,37.76640285243511
2020,4,Entre Ríos,15.549421718097456,52.00723170796209
2020,4,Formosa,9.81284708269379,38.555713731072856
2020,4,Jujuy,14.167071306072689,55.40191805588522
2020,4,La Pampa,22.10980248231683,67.10632911392405
2020,4,La Rioja,5.988682287704435,22.49746019387978
2020,4,Mendoza,5.328061192325743,19.093270890969105
2020,4,Misiones,10.927054574499488,40.11869333016509
2020,4,Neuquén,11.906812731159343,40.00211371803002
2020,4,Río Negro,14.835458735616278,48.23366038519441
2020,4,Salta,14.236862195097249,58.78486722192741
2020,4,San Juan,4.301841297676457,16.888139527902577
2020,4,San Luis,8.962021352591767,31.315652697231645
2020,4,Santa Cruz,12.000909405854841,40.334391572895726
2020,4,Santa Fe,19.29936273415461,61.37682010386122
2020,4,Santiago Del Estero,9.397822385034978,37.86784458963411
2020,4,Tierra Del Fuego,24.22364147960436,81.71036925801856
2020,4,Tucumán,6.524679095130185,26.340431887308185
2020,3,Buenos Aires,16.803753974921023,50.730633725672675
2020,3,Capital Federal,24.10273397703254,58.16055744296651
2020,3,Catamarca,9.803619931254957,38.54098747932908
2020,3,Chaco,9.94055493115578,37.19340683196105
2020,3,Chubut,10.609932140256358,34.61425252557108
2020,3,Córdoba,29.041147386395497,94.85510834248869
2020,3,Corrientes,10.160301072356441,38.58605545066352
2020,3,Entre Ríos,16.940275335307803,56.65887568974241
2020,3,Formosa,9.92892704089294,39.01175494219785
2020,3,Jujuy,14.148678570966114,55.329599659715825
2020,3,La Pampa,22.07805595644736,67.00970775267217
2020,3,La Rioja,4.989553328735446,18.743808580355104
2020,3,Mendoza,5.266452522877339,18.87239438695634
2020,3,Misiones,10.917656779127825,40.08397257089726
2020,3,Neuquén,12.045989378743663,40.469206730647876
2020,3,Río Negro,15.013000811549633,48.81049507012914
2020,3,Salta,14.280729950838243,58.96546536990644
2020,3,San Juan,4.301580892312253,16.88705178883159
2020,3,San Luis,8.990036809815951,31.413264186148613
2020,3,Santa Cruz,12.139441406505306,40.798638123392614
2020,3,Santa Fe,19.490142796504745,61.9833664148876
2020,3,Santiago Del Estero,9.346529682601881,37.660975970789956
2020,3,Tierra Del Fuego,24.349948317445733,82.13178895173162
2020,3,Tucumán,6.484836813095236,26.179454442138198
2020,2,Buenos Aires,16.634427634655797,50.3370365165193
2020,2,Capital Federal,24.003095587649515,57.852300602678746
2020,2,Catamarca,9.68692263036058,38.08143939393939
2020,2,Chaco,9.771201290851126,36.55872194779235
2020,2,Chubut,10.371938997539388,33.836467365776684
2020,2,Córdoba,29.227626199207194,95.46246392433673
2020,2,Corrientes,9.956883505105854,37.812544503896
2020,2,Entre Ríos,15.781755112090883,52.7830639785933
2020,2,Formosa,9.803581142863758,38.51825865507676
2020,2,Jujuy,12.693299471031372,49.636967382915635
2020,2,La Pampa,22.580392988960796,68.5337084364302
2020,2,La Rioja,4.908904050348256,18.440441492665677
2020,2,Mendoza,5.162015083660106,18.49768269916894
2020,2,Misiones,11.282459867331465,41.42212847286966
2020,2,Neuquén,11.97478231505825,40.2285054467555
2020,2,Río Negro,14.94281039187803,48.580819293892304
2020,2,Salta,14.239029371437327,58.79149099160532
2020,2,San Juan,4.244467164282365,16.662475355087917
2020,2,San Luis,9.039958566446304,31.586950987070715
2020,2,Santa Cruz,11.979646192292517,40.25875961140015
2020,2,Santa Fe,19.03327058356156,60.52954340738795
2020,2,Santiago Del Estero,9.217793937261055,37.14167937672616
2020,2,Tierra Del Fuego,24.220293740394503,81.69151320276723
2020,2,Tucumán,5.739028120121419,23.16799244591965
2020,1,Buenos Aires,16.90202470329971,51.26505334374187
2020,1,Capital Federal,24.11948192191098,58.063376973189676
2020,1,Catamarca,9.496587669258606,37.33356110430962
2020,1,Chaco,9.542499121247811,35.70340036836545
2020,1,Chubut,10.952739890703281,35.731812665285204
2020,1,Córdoba,28.35919422457884,92.62667831003787
2020,1,Corrientes,9.851899376404297,37.41398351881743
2020,1,Entre Ríos,15.960197751950272,53.380211800302575
2020,1,Formosa,9.815289178146198,38.56429552571105
2020,1,Jujuy,12.713734609090093,49.71742782954025
2020,1,La Pampa,22.353438194199637,67.84501205801433
2020,1,La Rioja,4.811697327316904,18.075569745256516
2020,1,Mendoza,5.199356911562233,18.631623826626104
2020,1,Misiones,11.407472247642541,41.88150052588524
2020,1,Neuquén,11.847914035737782,39.802761942505256
2020,1,Río Negro,14.754032295980666,47.96766430976578
2020,1,Salta,13.186916223873936,54.448099202421844
2020,1,San Juan,3.8928005734568116,15.282085419913157
2020,1,San Luis,9.41469996187421,32.896635030198446
2020,1,Santa Cruz,11.944656599049853,40.1432595722599
2020,1,Santa Fe,19.02134654224345,60.491855896338265
2020,1,Santiago Del Estero,9.122872516097798,36.75940620247306
2020,1,Tierra Del Fuego,24.1215933401544,81.36201419663516
2020,1,Tucumán,6.540725056843159,26.40464352081046
2019,4,Buenos Aires,16.1925426483997,49.226387821048576
2019,4,Capital Federal,29.166438915958686,70.12918230954156
2019,4,Catamarca,9.926934894636247,39.02548055431381
2019,4,Chaco,9.545293235970725,35.71388402899275
2019,4,Chubut,11.40184598519427,37.19724748670843
2019,4,Córdoba,29.78921758111826,97.29754524842402
2019,4,Corrientes,9.843208855776181,37.381016438888004
2019,4,Entre Ríos,15.988808595648496,53.475942315903886
2019,4,Formosa,9.821234374403325,38.587690400861085
