,Provincia,Año,mean,std,CV
224,Tierra Del Fuego,2018,85.79233064374979,13.752658291446249,16.030172147384327
225,Tierra Del Fuego,2019,91.0828311255355,7.695705159995765,8.449128189031706
226,Tierra Del Fuego,2020,76.37851580171338,0.3128236726300053,0.40957024281818766
227,Tierra Del Fuego,2021,84.64741213814253,14.486622222347965,17.114075736546024
228,Tierra Del Fuego,2022,99.77513759668199,1.2978527880839859,1.3007777481903926
229,Tierra Del Fuego,2023,105.52,1.1376730637577652,1.0781587033337428
230,Tucumán,2014,34.15753316767511,0.8138294827579292,2.382576864561445
231,Tucumán,2015,36.10971132640389,0.8942590218485836,2.476505596417465
232,Tucumán,2016,37.45964496840195,0.5925534657114433,1.581844852537378
233,Tucumán,2017,38.91966177356154,1.0220860009874486,2.626143071165537
234,Tucumán,2018,41.5318889482372,0.2584404415431664,0.6222698945026813
235,Tucumán,2019,42.225852743696535,3.7251495116805544,8.821963961963194
236,Tucumán,2020,51.910054523448665,2.9727174107759997,5.726669790788164
237,Tucumán,2021,55.077288734213454,0.5784961289486961,1.050335160360463
238,Tucumán,2022,59.72000806807799,1.7659416385040836,2.957035163978869
239,Tucumán,2023,60.78333333333333,0.46090490703976206,0.758275141825767
